trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
37,False,"{'a': 0.5259999999999999, 'e': 0.39653141907499284}",25,0,-9.846130293702743,"{0: 19, 1: 5, 2: 1, 3: 0, 4: 0}",0
38,False,"{'a': 0.5239999999999999, 'e': 0.3867410234545012}",25,2,14.71620879224879,"{0: 20, 1: 2, 2: 1, 3: 0, 4: 0}",1
39,False,"{'a': 0.5219999999999999, 'e': 0.3771923535631569}",20,2,-11.98511153429689,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 0}",1
40,False,"{'a': 0.5199999999999999, 'e': 0.36787944117144233}",20,0,-110.21592514872663,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
41,False,"{'a': 0.5179999999999999, 'e': 0.35879646540595156}",25,14,-30.337584196375257,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 1}",1
42,False,"{'a': 0.5159999999999999, 'e': 0.3499377491111554}",25,14,-1.7859276340575043,"{0: 8, 1: 2, 2: 1, 3: 0, 4: 0}",1
43,False,"{'a': 0.5139999999999999, 'e': 0.3412977553009937}",20,3,-33.34067886111749,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
44,False,"{'a': 0.5119999999999999, 'e': 0.33287108369807955}",25,12,11.203721349228841,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
45,False,"{'a': 0.5099999999999999, 'e': 0.32465246735834974}",25,8,-21.353191646051847,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
46,False,"{'a': 0.5079999999999999, 'e': 0.3166367693790532}",25,7,0.06928478183271336,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 0}",1
47,False,"{'a': 0.5059999999999999, 'e': 0.30881897968801986}",25,8,1.9173865448151748,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
48,False,"{'a': 0.5039999999999999, 'e': 0.3011942119122021}",20,0,-34.32617115583975,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
49,False,"{'a': 0.5019999999999999, 'e': 0.2937577003235328}",20,0,-21.020747467505362,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
50,False,"{'a': 0.4999999999999999, 'e': 0.2865047968601901}",20,15,7.704900754473581,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
51,False,"{'a': 0.4979999999999999, 'e': 0.2794309682214073}",20,7,-3.412113769059882,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 0}",1
52,False,"{'a': 0.4959999999999999, 'e': 0.2725317930340126}",25,11,0.6348860849914191,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
53,False,"{'a': 0.4939999999999999, 'e': 0.2658029590889266}",25,0,29.359090944127743,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
54,False,"{'a': 0.4919999999999999, 'e': 0.2592402606458915}",20,14,12.636459184037744,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
55,False,"{'a': 0.4899999999999999, 'e': 0.2528395958047465}",25,0,-57.661384092442965,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 2}",0
56,False,"{'a': 0.4879999999999999, 'e': 0.24659696394160646}",25,8,8.690219493067833,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
57,False,"{'a': 0.4859999999999999, 'e': 0.24050846320834215}",25,20,9.007905241232663,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
58,False,"{'a': 0.4839999999999999, 'e': 0.23457028809379762}",25,17,-39.504435867037785,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 1}",1
59,False,"{'a': 0.4819999999999999, 'e': 0.22877872704522242}",20,3,29.493821057863258,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
60,False,"{'a': 0.47999999999999987, 'e': 0.22313016014842985}",25,11,12.644378601967396,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
61,False,"{'a': 0.47799999999999987, 'e': 0.21762105686523286}",20,0,-43.53067428957193,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
62,False,"{'a': 0.47599999999999987, 'e': 0.21224797382674307}",20,0,27.890914783988435,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
